EmployeeNo,Attrition,JobRole,Department,Education,Age,YearsSinceLastPromotion,MonthlyIncome,JobSatisfaction,PerformanceRating
555,Yes,Sales Representative,Sales,Some university,34,1,2351,3,3
556,No,Laboratory Technician,Research & Development,Some university,38,0,1702,4,4
558,No,Manager,Sales,Master's,40,1,18041,3,3
560,No,Research Scientist,Research & Development,Bachelor's,26,0,2886,4,4
562,No,Laboratory Technician,Research & Development,Bachelor's,30,1,2097,4,3
564,No,Research Director,Research & Development,Master's,29,0,11935,3,3
565,Yes,Research Scientist,Research & Development,Doctorate,29,1,2546,2,3
566,Yes,Human Resources,Human Resources,Some university,19,0,2564,4,3
567,No,Sales Executive,Sales,Master's,30,7,8412,1,3
568,No,Manager,Sales,Bachelor's,57,0,14118,4,3
569,No,Manager,Research & Development,Master's,50,15,17046,3,3
571,No,Laboratory Technician,Research & Development,Bachelor's,30,6,2564,4,3
573,No,Sales Executive,Sales,Bachelor's,60,13,10266,1,3
574,No,Manufacturing Director,Research & Development,Some university,47,0,5070,4,3
575,No,Research Director,Research & Development,Bachelor's,46,0,17861,3,3
577,No,Laboratory Technician,Research & Development,Bachelor's,35,4,4230,3,3
578,No,Laboratory Technician,Research & Development,Master's,54,0,3780,3,3
579,No,Research Scientist,Research & Development,Master's,34,5,2768,3,3
580,No,Sales Executive,Sales,Bachelor's,46,1,9071,4,3
581,No,Manufacturing Director,Research & Development,High school or below,31,0,10648,2,4
582,Yes,Manager,Research & Development,High school or below,33,7,13610,3,3
584,Yes,Laboratory Technician,Research & Development,High school or below,33,1,3408,4,3
585,No,Sales Representative,Sales,High school or below,30,1,2983,2,3
586,No,Healthcare Representative,Research & Development,Bachelor's,35,0,7632,3,3
587,Yes,Healthcare Representative,Research & Development,Bachelor's,31,0,9824,3,3
590,Yes,Human Resources,Human Resources,Bachelor's,34,0,9950,1,3
591,No,Laboratory Technician,Research & Development,Some university,42,2,2093,3,3
592,No,Sales Executive,Sales,Master's,36,9,9980,4,3
593,Yes,Laboratory Technician,Research & Development,High school or below,22,1,3894,3,3
595,No,Sales Executive,Sales,Doctorate,48,6,4051,4,3
597,No,Manager,Sales,Doctorate,55,7,16835,2,4
599,No,Sales Executive,Sales,Some university,41,1,6230,4,3
600,No,Sales Executive,Sales,Bachelor's,35,6,4717,3,3
601,No,Manufacturing Director,Research & Development,Bachelor's,40,5,13237,3,3
602,No,Laboratory Technician,Research & Development,High school or below,39,0,3755,3,3
604,No,Sales Executive,Sales,High school or below,31,0,6582,4,3
605,No,Manufacturing Director,Research & Development,Bachelor's,42,5,7406,1,4
606,No,Sales Executive,Sales,Bachelor's,45,3,4805,2,3
608,Yes,Human Resources,Human Resources,Master's,26,1,2741,3,3
611,No,Manufacturing Director,Research & Development,Bachelor's,29,1,4262,4,3
612,No,Research Director,Research & Development,Doctorate,33,0,16184,3,3
613,No,Manager,Sales,Bachelor's,31,0,11557,4,4
614,Yes,Sales Representative,Sales,Bachelor's,18,0,1878,2,3
615,No,Sales Executive,Sales,Bachelor's,40,0,10932,1,3
616,No,Healthcare Representative,Research & Development,Master's,41,0,6811,3,3
618,No,Sales Executive,Sales,Some university,26,0,4306,3,3
620,No,Sales Executive,Sales,Bachelor's,35,0,4859,3,3
621,No,Sales Executive,Sales,Master's,34,5,5337,4,3
622,Yes,Laboratory Technician,Research & Development,Bachelor's,26,0,2340,4,3
623,No,Manufacturing Director,Research & Development,Bachelor's,37,1,7491,4,3
624,No,Healthcare Representative,Research & Development,High school or below,46,1,10527,3,3
625,No,Manager,Sales,Doctorate,41,11,16595,1,3
626,No,Sales Executive,Sales,Master's,37,7,8834,2,3
630,No,Research Scientist,Research & Development,Some university,52,6,5577,1,3
631,Yes,Sales Executive,Sales,Master's,32,1,4707,3,3
632,No,Sales Representative,Sales,Bachelor's,24,2,2400,4,3
634,No,Healthcare Representative,Research & Development,Bachelor's,38,0,9824,3,3
635,No,Manufacturing Director,Research & Development,Master's,37,4,6447,2,3
638,No,Research Director,Research & Development,Master's,49,0,19502,3,3
639,No,Research Scientist,Research & Development,Bachelor's,24,1,2725,4,3
641,No,Sales Executive,Sales,Some university,26,1,6272,2,4
643,No,Laboratory Technician,Research & Development,Some university,24,0,2127,2,4
644,No,Manager,Human Resources,Bachelor's,50,10,18200,2,3
645,No,Sales Representative,Sales,High school or below,25,0,2096,3,3
647,Yes,Laboratory Technician,Research & Development,Bachelor's,24,1,2886,3,3
648,Yes,Sales Representative,Sales,Master's,30,0,2033,1,3
649,No,Research Scientist,Research & Development,Some university,34,1,3622,4,3
650,Yes,Sales Executive,Sales,Master's,31,1,4233,1,3
652,No,Laboratory Technician,Research & Development,Some university,35,0,3681,4,3
653,No,Sales Executive,Sales,Master's,31,5,5460,4,4
655,No,Research Scientist,Research & Development,Master's,27,0,2187,3,3
656,No,Sales Executive,Sales,Bachelor's,37,1,9602,3,3
657,No,Research Scientist,Research & Development,Bachelor's,20,0,2836,2,3
659,No,Healthcare Representative,Research & Development,Master's,42,2,4089,4,3
661,No,Research Director,Research & Development,Master's,43,0,16627,4,3
662,No,Research Scientist,Research & Development,High school or below,38,0,2619,1,3
663,No,Laboratory Technician,Research & Development,Doctorate,43,4,5679,3,3
664,No,Manager,Research & Development,Master's,48,0,15402,1,3
665,No,Human Resources,Human Resources,Master's,44,0,5985,3,3
666,No,Sales Representative,Sales,Bachelor's,34,0,2579,3,3
667,Yes,Sales Representative,Sales,High school or below,27,0,3041,1,3
669,No,Sales Representative,Sales,High school or below,21,1,3447,3,3
671,No,Manager,Research & Development,Master's,44,0,19513,4,3
675,No,Research Scientist,Research & Development,High school or below,22,2,2773,3,4
677,No,Sales Executive,Sales,Master's,33,1,7104,3,3
679,No,Research Scientist,Research & Development,Master's,32,0,6322,4,3
680,No,Research Scientist,Research & Development,Bachelor's,30,0,2083,3,4
682,No,Sales Executive,Sales,High school or below,53,8,8381,1,4
683,No,Research Scientist,Research & Development,Doctorate,34,8,2691,4,3
684,Yes,Sales Executive,Sales,Master's,45,0,4286,1,3
686,No,Laboratory Technician,Research & Development,Bachelor's,26,0,2659,4,3
689,No,Manufacturing Director,Research & Development,Bachelor's,37,7,9434,3,3
690,No,Sales Executive,Sales,Some university,29,1,5561,3,3
691,No,Research Scientist,Research & Development,Master's,35,11,6646,4,3
692,No,Healthcare Representative,Research & Development,Bachelor's,33,4,7725,4,4
698,No,Human Resources,Human Resources,Master's,54,7,10725,2,3
699,No,Manufacturing Director,Research & Development,Some university,36,0,8847,2,3
700,No,Research Scientist,Research & Development,Master's,27,1,2045,4,3
701,Yes,Research Scientist,Research & Development,High school or below,20,1,1009,3,3
702,Yes,Research Scientist,Research & Development,Bachelor's,33,9,3348,1,3
704,No,Laboratory Technician,Research & Development,Bachelor's,35,0,1281,3,3
705,No,Research Scientist,Research & Development,Bachelor's,23,0,2819,1,3
707,No,Sales Executive,Sales,Bachelor's,25,1,4851,2,4
709,No,Sales Executive,Sales,Master's,38,0,4028,4,4
710,No,Research Scientist,Research & Development,Master's,29,2,2720,4,3
712,No,Sales Executive,Sales,High school or below,48,2,8120,2,3
714,No,Sales Executive,Sales,High school or below,27,0,4647,4,4
715,No,Research Scientist,Research & Development,Some university,37,0,4680,4,3
716,No,Laboratory Technician,Research & Development,High school or below,50,3,3221,3,3
717,No,Healthcare Representative,Research & Development,Bachelor's,34,7,8621,2,3
720,Yes,Sales Executive,Sales,Some university,24,2,4577,3,3
721,No,Healthcare Representative,Research & Development,Master's,39,11,4553,3,3
722,No,Sales Executive,Sales,Bachelor's,32,0,5396,4,3
723,Yes,Sales Executive,Sales,Some university,50,1,6796,3,3
724,No,Healthcare Representative,Research & Development,Master's,38,1,7625,4,3
725,No,Manufacturing Director,Research & Development,Some university,27,0,7412,1,3
727,No,Research Director,Research & Development,Some university,32,7,11159,4,3
728,No,Sales Executive,Sales,Master's,47,1,4960,1,3
729,No,Sales Executive,Sales,Master's,40,1,10475,1,4
730,No,Research Director,Research & Development,Bachelor's,53,1,14814,3,3
731,No,Manager,Human Resources,Master's,41,12,19141,4,3
732,No,Sales Executive,Sales,Master's,60,2,5405,1,3
733,No,Manufacturing Director,Research & Development,Some university,27,1,8793,1,4
734,No,Manager,Human Resources,Bachelor's,41,2,19189,3,3
738,No,Sales Representative,Sales,Master's,50,2,3875,2,3
741,Yes,Research Scientist,Research & Development,Some university,28,3,2216,2,3
742,No,Research Director,Research & Development,Bachelor's,36,0,11713,1,3
743,No,Manufacturing Director,Research & Development,Bachelor's,38,0,7861,3,3
744,No,Laboratory Technician,Research & Development,Bachelor's,44,1,3708,3,3
746,No,Sales Executive,Sales,Bachelor's,47,11,13770,3,3
747,No,Sales Executive,Sales,Doctorate,30,7,5304,4,4
749,No,Sales Representative,Sales,Bachelor's,29,0,2642,3,3
752,Yes,Research Scientist,Research & Development,Bachelor's,42,2,2759,3,3
754,No,Sales Executive,Sales,Bachelor's,43,2,6804,4,3
757,No,Healthcare Representative,Research & Development,Some university,34,4,6142,3,3
758,No,Laboratory Technician,Research & Development,High school or below,23,0,2500,1,3
760,No,Human Resources,Human Resources,Bachelor's,39,3,6389,2,3
762,No,Healthcare Representative,Research & Development,Bachelor's,56,1,11103,4,3
763,No,Research Scientist,Research & Development,High school or below,40,2,2342,4,4
764,No,Healthcare Representative,Research & Development,Bachelor's,27,0,6811,1,3
766,No,Sales Representative,Sales,Bachelor's,29,2,2297,2,3
769,No,Laboratory Technician,Research & Development,Bachelor's,53,2,2450,4,3
771,No,Healthcare Representative,Research & Development,Master's,35,0,5093,1,3
772,No,Laboratory Technician,Research & Development,Master's,32,4,5309,4,3
773,No,Research Scientist,Research & Development,Doctorate,38,0,3057,3,3
775,No,Manufacturing Director,Research & Development,Doctorate,34,0,5121,1,3
776,No,Manager,Sales,Master's,52,1,16856,1,3
780,Yes,Research Scientist,Research & Development,Master's,33,7,2686,4,3
781,No,Sales Executive,Sales,High school or below,25,1,6180,4,4
783,No,Sales Representative,Sales,Some university,45,3,6632,3,3
784,No,Research Scientist,Research & Development,High school or below,23,0,3505,3,3
785,Yes,Sales Executive,Sales,Some university,47,1,6397,3,3
786,No,Sales Executive,Sales,Bachelor's,34,1,6274,4,4
787,Yes,Manager,Research & Development,Bachelor's,55,1,19859,1,3
789,No,Sales Executive,Sales,Master's,36,0,7587,1,3
791,No,Research Scientist,Research & Development,Master's,52,1,4258,4,3
792,No,Laboratory Technician,Research & Development,Some university,26,2,4364,4,3
793,No,Healthcare Representative,Research & Development,Bachelor's,29,1,4335,3,3
796,Yes,Sales Executive,Sales,Bachelor's,26,1,5326,1,3
797,No,Research Scientist,Research & Development,Master's,34,1,3280,4,3
799,No,Manufacturing Director,Research & Development,Master's,54,1,5485,1,3
800,No,Sales Executive,Sales,High school or below,27,1,4342,4,3
802,No,Research Scientist,Research & Development,High school or below,37,4,2782,1,3
803,No,Manufacturing Director,Research & Development,Master's,38,4,5980,1,3
804,No,Research Scientist,Research & Development,Master's,34,1,4381,1,3
805,No,Sales Representative,Sales,Master's,35,0,2572,4,3
806,No,Laboratory Technician,Research & Development,Bachelor's,30,0,3833,3,4
807,No,Healthcare Representative,Research & Development,Some university,40,3,4244,2,4
808,No,Sales Executive,Sales,Some university,34,1,6500,1,3
809,No,Manager,Research & Development,Bachelor's,42,14,18430,4,3
811,Yes,Laboratory Technician,Research & Development,Bachelor's,23,0,1601,1,4
812,No,Laboratory Technician,Research & Development,Bachelor's,24,0,2694,2,3
813,No,Laboratory Technician,Research & Development,Master's,52,1,3149,3,4
815,No,Research Director,Research & Development,Bachelor's,50,0,17639,3,3
816,Yes,Laboratory Technician,Research & Development,Some university,29,0,2319,1,3
817,No,Research Director,Research & Development,Bachelor's,33,3,11691,3,3
819,Yes,Sales Executive,Sales,Bachelor's,33,0,5324,1,3
820,No,Manager,Research & Development,Some university,47,3,16752,4,3
823,No,Manufacturing Director,Research & Development,Bachelor's,36,0,5228,2,3
824,No,Research Scientist,Research & Development,Some university,29,0,2700,3,4
825,Yes,Research Director,Research & Development,Master's,58,13,19246,2,3
826,No,Research Scientist,Research & Development,Master's,35,2,2506,3,3
827,No,Manufacturing Director,Research & Development,Some university,42,0,6062,4,3
828,Yes,Research Scientist,Research & Development,Master's,28,2,4382,3,3
829,No,Human Resources,Human Resources,Bachelor's,36,0,2143,2,3
830,No,Manufacturing Director,Research & Development,Bachelor's,32,6,6162,3,3
832,No,Laboratory Technician,Research & Development,Master's,40,0,5094,3,3
833,No,Manufacturing Director,Research & Development,Bachelor's,30,0,6877,4,4
834,No,Research Scientist,Research & Development,Bachelor's,45,0,2274,3,3
836,No,Manufacturing Director,Research & Development,Bachelor's,42,7,4434,2,3
837,No,Healthcare Representative,Research & Development,Bachelor's,38,1,6288,1,3
838,No,Research Scientist,Research & Development,Master's,34,1,2553,4,3
840,Yes,Sales Executive,Sales,Bachelor's,49,7,7654,4,3
842,Yes,Sales Executive,Sales,High school or below,55,7,5160,4,3
843,No,Research Director,Research & Development,Some university,43,1,17159,1,4
844,No,Research Director,Research & Development,High school or below,27,0,12808,4,3
845,No,Manufacturing Director,Research & Development,Bachelor's,35,1,10221,3,4
846,No,Sales Executive,Sales,Master's,28,7,4779,2,4
847,No,Human Resources,Human Resources,Some university,34,0,3737,4,3
848,Yes,Research Scientist,Research & Development,Some university,26,1,2366,3,3
850,No,Research Scientist,Research & Development,Bachelor's,27,0,1706,4,3
851,No,Manager,Sales,Master's,51,4,16307,3,3
852,No,Healthcare Representative,Research & Development,Bachelor's,44,2,5933,2,3
854,No,Research Scientist,Research & Development,High school or below,25,0,3424,1,3
855,No,Sales Executive,Sales,Bachelor's,33,0,4037,1,4
856,No,Research Scientist,Research & Development,High school or below,35,1,2559,1,3
857,No,Sales Executive,Sales,Some university,36,4,6201,4,3
859,No,Sales Executive,Sales,Master's,32,0,4403,4,3
861,No,Research Scientist,Research & Development,Master's,30,0,3761,4,3
862,No,Sales Executive,Sales,Some university,53,0,10934,4,3
864,No,Sales Executive,Sales,Bachelor's,45,0,10761,1,3
865,No,Research Scientist,Research & Development,Some university,32,1,5175,3,3
867,No,Manufacturing Director,Research & Development,Master's,52,0,13826,4,4
868,No,Sales Executive,Sales,Master's,37,0,6334,3,3
869,No,Human Resources,Human Resources,Some university,28,0,4936,4,3
872,No,Manufacturing Director,Research & Development,Some university,22,2,4775,4,4
874,No,Laboratory Technician,Research & Development,Master's,44,0,2818,4,4
875,No,Research Scientist,Research & Development,High school or below,42,2,2515,4,3
878,No,Human Resources,Human Resources,Bachelor's,36,0,2342,1,4
879,No,Sales Executive,Sales,High school or below,25,0,4194,1,3
880,No,Manufacturing Director,Research & Development,Bachelor's,35,5,10685,3,4
881,Yes,Research Scientist,Research & Development,Master's,35,7,2022,2,3
882,No,Laboratory Technician,Research & Development,Bachelor's,32,0,2314,4,3
885,No,Sales Executive,Sales,High school or below,25,0,4256,1,3
887,No,Research Scientist,Research & Development,Bachelor's,49,0,3580,1,3
888,No,Laboratory Technician,Research & Development,High school or below,24,3,3162,4,3
889,No,Sales Executive,Sales,Some university,32,5,6524,2,3
893,No,Sales Representative,Sales,Bachelor's,38,1,2899,2,3
894,No,Laboratory Technician,Research & Development,Bachelor's,42,1,5231,4,3
895,No,Research Scientist,Research & Development,Master's,31,0,2356,4,3
896,Yes,Sales Representative,Sales,Bachelor's,29,0,2800,3,3
897,No,Sales Executive,Sales,Bachelor's,53,2,11836,4,3
899,No,Manufacturing Director,Research & Development,Bachelor's,35,4,10903,2,3
900,No,Sales Representative,Sales,Some university,37,0,2973,4,3
901,No,Research Director,Research & Development,Master's,53,3,14275,4,3
902,No,Healthcare Representative,Research & Development,Bachelor's,43,2,5562,4,3
903,No,Sales Executive,Sales,Some university,47,7,4537,4,4
904,No,Sales Executive,Sales,Some university,37,0,7642,2,3
905,No,Manager,Research & Development,Master's,50,14,17924,1,3
909,No,Human Resources,Human Resources,Bachelor's,39,0,5204,4,3
910,No,Human Resources,Human Resources,Some university,33,0,2277,2,3
911,Yes,Laboratory Technician,Research & Development,Master's,32,0,2795,4,4
912,No,Laboratory Technician,Research & Development,High school or below,29,0,2532,4,3
913,No,Research Scientist,Research & Development,Some university,44,7,2559,1,3
916,No,Sales Executive,Sales,Master's,28,0,4908,4,3
918,Yes,Laboratory Technician,Research & Development,High school or below,58,0,2380,4,3
920,No,Manufacturing Director,Research & Development,Bachelor's,43,0,4765,2,4
922,Yes,Sales Representative,Sales,Bachelor's,20,0,2044,3,3
923,Yes,Research Scientist,Research & Development,High school or below,21,0,2693,4,3
924,No,Healthcare Representative,Research & Development,High school or below,36,4,6586,4,3
925,No,Sales Representative,Sales,Master's,47,1,3294,4,3
926,Yes,Manufacturing Director,Research & Development,High school or below,22,0,4171,3,3
927,Yes,Laboratory Technician,Research & Development,Master's,41,1,2778,4,3
930,No,Research Scientist,Research & Development,Bachelor's,28,2,2377,3,3
932,Yes,Laboratory Technician,Research & Development,Bachelor's,39,2,2404,1,4
933,No,Research Scientist,Research & Development,Bachelor's,27,0,2318,3,3
934,No,Laboratory Technician,Research & Development,Bachelor's,34,1,2008,2,3
936,No,Sales Executive,Sales,Some university,42,0,6244,3,3
939,No,Research Scientist,Research & Development,Master's,33,0,2799,1,3
940,No,Healthcare Representative,Research & Development,Bachelor's,58,0,10552,2,3
941,No,Sales Representative,Sales,Master's,31,5,2329,3,3
942,No,Healthcare Representative,Research & Development,High school or below,35,0,4014,4,4
944,No,Laboratory Technician,Research & Development,Some university,49,1,7403,2,3
945,No,Research Scientist,Research & Development,Master's,48,0,2259,3,3
947,No,Sales Executive,Sales,Some university,31,0,6932,3,3
949,No,Research Scientist,Research & Development,Master's,36,0,4678,4,3
950,No,Research Director,Research & Development,Bachelor's,38,5,13582,1,3
951,No,Laboratory Technician,Research & Development,Bachelor's,32,0,2332,2,4
952,Yes,Sales Representative,Sales,Some university,25,0,2413,2,3
954,No,Sales Executive,Sales,Master's,40,0,9705,2,3
956,No,Sales Executive,Sales,Bachelor's,26,0,4294,1,3
957,No,Laboratory Technician,Research & Development,Bachelor's,41,2,4721,1,3
958,No,Laboratory Technician,Research & Development,Master's,36,3,2519,3,4
959,Yes,Sales Representative,Sales,Bachelor's,19,0,2121,2,3
960,Yes,Laboratory Technician,Research & Development,Bachelor's,20,0,2973,1,3
961,No,Healthcare Representative,Research & Development,Bachelor's,31,8,5855,4,3
964,No,Research Scientist,Research & Development,Master's,40,0,3617,2,3
966,No,Manufacturing Director,Research & Development,Master's,32,6,6725,1,3
967,Yes,Sales Executive,Sales,High school or below,36,3,10325,4,3
969,No,Healthcare Representative,Research & Development,Bachelor's,33,1,6949,4,3
970,Yes,Sales Executive,Sales,Master's,37,11,10609,3,3
972,No,Laboratory Technician,Research & Development,Some university,45,0,4447,2,3
974,No,Sales Representative,Sales,Bachelor's,29,0,2157,4,3
975,No,Sales Executive,Sales,Bachelor's,35,1,4601,3,3
976,No,Manager,Research & Development,Some university,52,7,17099,4,3
977,Yes,Research Scientist,Research & Development,Bachelor's,58,0,2479,3,4
981,No,Manager,Sales,Some university,53,15,14852,3,3
982,No,Sales Executive,Sales,Some university,30,7,7264,3,3
983,No,Sales Executive,Sales,Bachelor's,38,1,5666,4,3
984,No,Sales Executive,Sales,Master's,35,0,7823,4,3
985,No,Sales Executive,Sales,Doctorate,39,0,7880,3,3
986,Yes,Sales Executive,Sales,Bachelor's,40,0,13194,2,3
987,No,Manufacturing Director,Research & Development,Master's,47,2,5067,3,3
990,No,Sales Executive,Sales,Master's,36,0,5079,4,3
991,Yes,Research Scientist,Research & Development,Some university,31,1,2321,1,4
992,No,Manager,Sales,Bachelor's,33,6,17444,3,3
994,Yes,Research Scientist,Research & Development,Bachelor's,29,0,2404,1,4
995,No,Research Scientist,Research & Development,High school or below,33,0,3452,4,3
996,No,Laboratory Technician,Research & Development,Master's,45,0,2270,4,3
997,No,Research Director,Research & Development,Some university,50,1,17399,4,4
998,No,Healthcare Representative,Research & Development,Master's,33,1,5488,2,3
999,No,Research Director,Research & Development,Bachelor's,41,0,19419,3,3
1001,No,Laboratory Technician,Research & Development,Master's,27,2,2811,2,3
1002,No,Laboratory Technician,Research & Development,Some university,45,0,3633,1,3
1003,No,Sales Executive,Sales,Some university,47,0,4163,4,3
1004,Yes,Research Scientist,Research & Development,Bachelor's,30,0,2132,3,3
1005,No,Manufacturing Director,Research & Development,Bachelor's,50,1,13973,3,3
1006,No,Research Scientist,Research & Development,High school or below,38,0,2684,3,3
1007,No,Manufacturing Director,Research & Development,Some university,46,0,10845,3,3
1009,No,Manufacturing Director,Research & Development,High school or below,24,3,4377,3,3
1010,Yes,Laboratory Technician,Research & Development,Master's,35,0,3743,2,4
1011,No,Manufacturing Director,Research & Development,High school or below,31,0,4148,1,3
1012,No,Research Scientist,Research & Development,Some university,18,0,1051,4,3
1013,No,Manufacturing Director,Research & Development,Bachelor's,54,0,10739,3,3
1014,No,Healthcare Representative,Research & Development,Master's,35,10,10388,3,3
1015,No,Research Director,Research & Development,Some university,30,1,11416,1,3
1016,Yes,Research Scientist,Research & Development,Bachelor's,20,0,2600,1,3
1017,Yes,Laboratory Technician,Research & Development,Bachelor's,30,1,2422,2,3
1018,No,Manufacturing Director,Research & Development,Some university,26,1,5472,4,3
1019,No,Laboratory Technician,Research & Development,High school or below,22,1,2451,1,3
1022,No,Healthcare Representative,Research & Development,Bachelor's,48,2,4240,3,3
1024,No,Healthcare Representative,Research & Development,Master's,48,4,10999,3,3
1025,No,Manufacturing Director,Research & Development,Some university,41,2,5003,3,3
1026,No,Manufacturing Director,Research & Development,High school or below,39,11,12742,4,3
1027,No,Manufacturing Director,Research & Development,Master's,27,2,4227,4,3
1028,No,Laboratory Technician,Research & Development,Bachelor's,35,1,3917,4,4
1029,No,Manager,Sales,Some university,42,0,18303,3,3
1030,No,Laboratory Technician,Research & Development,Bachelor's,50,0,2380,4,3
1032,No,Manufacturing Director,Research & Development,Bachelor's,59,4,13726,4,3
1033,Yes,Healthcare Representative,Research & Development,Some university,37,0,4777,2,3
1034,No,Healthcare Representative,Research & Development,Master's,55,6,6385,2,3
1035,No,Research Director,Research & Development,High school or below,41,5,19973,3,4
1036,No,Sales Executive,Sales,Master's,38,0,6861,4,3
1037,Yes,Sales Executive,Sales,Some university,26,2,4969,1,3
1038,Yes,Manager,Sales,High school or below,52,6,19845,4,3
1039,No,Sales Executive,Sales,Bachelor's,44,11,13320,4,3
1040,No,Sales Executive,Sales,Bachelor's,50,0,6347,3,3
1042,Yes,Laboratory Technician,Research & Development,Master's,36,15,2743,1,3
1043,No,Manufacturing Director,Research & Development,Bachelor's,39,2,10880,1,3
1044,No,Sales Representative,Sales,High school or below,33,2,2342,4,3
1045,No,Manager,Sales,Some university,45,1,17650,4,3
1046,No,Laboratory Technician,Research & Development,Master's,32,7,4025,3,3
1047,No,Sales Executive,Sales,Master's,34,0,9725,4,3
1048,No,Manager,Sales,Some university,59,0,11904,4,3
1049,No,Human Resources,Human Resources,Master's,45,0,2177,2,3
1050,No,Sales Executive,Sales,Bachelor's,53,6,7525,2,3
1052,Yes,Laboratory Technician,Research & Development,Bachelor's,36,0,4834,3,3
1053,Yes,Research Scientist,Research & Development,Bachelor's,26,1,2042,1,3
1055,No,Sales Representative,Sales,Master's,34,0,2220,3,3
1056,No,Sales Representative,Sales,High school or below,28,0,1052,2,4
1060,No,Research Scientist,Research & Development,Master's,38,2,2821,3,3
1061,No,Research Director,Research & Development,Master's,50,7,19237,3,3
1062,No,Healthcare Representative,Research & Development,Bachelor's,37,0,4107,2,3
1066,No,Sales Executive,Sales,Bachelor's,40,7,8396,1,3
1068,No,Research Scientist,Research & Development,High school or below,26,1,2007,3,3
1069,No,Research Director,Research & Development,Master's,46,2,19627,4,3
1070,No,Sales Executive,Sales,Master's,54,7,10686,3,3
1071,No,Research Scientist,Research & Development,Bachelor's,56,0,2942,3,3
1073,No,Manufacturing Director,Research & Development,Doctorate,36,7,8858,4,3
1074,No,Manager,Research & Development,High school or below,55,6,16756,1,3
1076,No,Sales Executive,Sales,Bachelor's,43,0,10798,4,3
1077,Yes,Sales Representative,Sales,Bachelor's,20,0,2323,4,3
1079,Yes,Laboratory Technician,Research & Development,Bachelor's,21,1,1416,1,3
1080,No,Research Scientist,Research & Development,Master's,46,1,4615,1,4
1081,Yes,Research Scientist,Research & Development,Master's,51,2,2461,3,3
1082,Yes,Healthcare Representative,Research & Development,Some university,28,1,8722,1,3
1083,No,Laboratory Technician,Research & Development,Some university,26,1,3955,1,3
1084,No,Manufacturing Director,Research & Development,Bachelor's,30,0,9957,1,3
1085,No,Research Scientist,Research & Development,Some university,41,0,3376,3,3
1088,No,Healthcare Representative,Research & Development,High school or below,38,1,8823,3,3
1092,No,Healthcare Representative,Research & Development,Master's,40,11,10322,4,4
1094,No,Laboratory Technician,Research & Development,Doctorate,27,1,4621,3,3
1096,No,Manufacturing Director,Research & Development,High school or below,55,1,10976,2,3
1097,No,Research Scientist,Research & Development,Bachelor's,28,1,3660,3,3
1098,Yes,Human Resources,Human Resources,Some university,44,3,10482,1,3
1099,No,Healthcare Representative,Research & Development,Bachelor's,33,1,7119,4,3
1100,Yes,Sales Executive,Sales,Bachelor's,35,4,9582,1,4
1101,Yes,Research Scientist,Research & Development,Master's,33,3,4508,3,4
1102,No,Laboratory Technician,Research & Development,Some university,28,2,2207,3,3
1103,No,Healthcare Representative,Research & Development,High school or below,34,0,7756,4,3
1105,No,Sales Executive,Sales,Master's,37,0,6694,4,3
1106,Yes,Laboratory Technician,Research & Development,High school or below,25,5,3691,4,3
1107,Yes,Laboratory Technician,Research & Development,Bachelor's,26,0,2377,3,4
1108,Yes,Research Scientist,Research & Development,Bachelor's,33,2,2313,2,4
1109,No,Manager,Research & Development,Some university,42,13,17665,1,3
1111,Yes,Laboratory Technician,Research & Development,Bachelor's,28,0,2596,2,3
1113,Yes,Sales Executive,Sales,Master's,50,0,4728,3,3
1114,No,Sales Executive,Sales,Bachelor's,33,0,4302,2,3
1115,No,Research Scientist,Research & Development,Master's,34,0,2979,4,3
1116,No,Manager,Research & Development,Master's,48,2,16885,4,4
1117,No,Sales Executive,Sales,Master's,45,4,5593,3,3
1118,No,Healthcare Representative,Research & Development,Master's,52,4,10445,2,3
1119,No,Sales Executive,Sales,Master's,38,2,8740,3,3
1120,No,Research Scientist,Research & Development,Master's,29,1,2514,4,4
1121,No,Manufacturing Director,Research & Development,Bachelor's,28,1,7655,2,3
1124,No,Manager,Sales,High school or below,46,4,17465,3,3
1125,No,Sales Executive,Sales,Some university,38,0,7351,2,3
1126,No,Manufacturing Director,Research & Development,Bachelor's,43,0,10820,1,3
1127,Yes,Healthcare Representative,Research & Development,Bachelor's,39,11,12169,4,3
1128,No,Research Director,Research & Development,Bachelor's,40,4,19626,3,3
1131,No,Research Scientist,Research & Development,High school or below,21,2,2070,2,3
1132,No,Laboratory Technician,Research & Development,Bachelor's,39,0,6782,2,3
1133,No,Manufacturing Director,Research & Development,Master's,36,0,7779,4,4
1135,No,Sales Representative,Sales,Bachelor's,31,2,2791,4,3
1136,No,Research Scientist,Research & Development,High school or below,28,0,3201,2,3
1137,No,Sales Executive,Sales,Some university,35,0,4968,4,3
1138,No,Sales Executive,Sales,Master's,49,2,13120,2,3
1140,No,Manufacturing Director,Research & Development,Some university,34,0,4033,3,3
1143,No,Research Scientist,Research & Development,Bachelor's,29,1,3291,2,3
1148,No,Laboratory Technician,Research & Development,Bachelor's,42,0,4272,4,3
1150,No,Manufacturing Director,Research & Development,High school or below,29,1,5056,4,3
1152,No,Human Resources,Human Resources,Bachelor's,38,5,2844,3,3
1154,No,Research Scientist,Research & Development,Bachelor's,28,0,2703,3,3
